#{"t_start": 1765153653.31752, "env_id": "BipedalWalker-v3"}
r,l,t
-115.052572,328,633.149594
-110.900067,40,633.185737
-102.186064,111,633.275387
-110.525428,46,635.940199
-95.083714,99,636.020231
-97.895304,76,636.093918
-110.347359,62,636.225244
-95.66683,78,636.351463
-103.525505,72,636.404696
-110.941342,53,636.446119
-109.718826,81,636.65434
-61.158563,1600,638.926985
-52.626222,1600,640.998029
-61.361609,1600,642.821228
-99.782959,70,642.953772
-56.647299,1600,644.699801
-103.090736,108,644.782735
-100.148454,94,644.910049
-101.462184,63,644.965757
-56.570432,1600,646.831712
-104.818551,79,647.00979
-117.708328,91,647.091183
-42.161075,1600,649.230471
-113.901988,118,649.387614
-107.367141,94,649.455826
-42.341633,1600,651.581439
-113.845257,68,651.659412
-114.385899,106,651.861315
-110.916734,61,651.905918
-107.793373,126,652.062682
-105.274139,85,652.123658
-112.22814,55,652.164447
-103.459264,72,652.217244
-100.868443,93,652.383683
-108.959676,128,652.490161
-104.932227,48,652.534509
-118.708638,96,652.651695
-105.155217,63,652.703338
-100.954386,100,652.832716
-103.897494,102,652.919141
-104.078918,78,652.975074
-111.821693,72,653.037763
-58.6756,1600,654.650455
-101.800213,76,654.720948
-109.43859,76,654.797373
-57.199967,1600,656.462736
-131.143858,185,656.61028
-54.743207,1600,658.513796
-102.605397,86,658.620189
-118.11005,157,658.790812
-107.141948,73,658.856235
-110.179611,47,658.921145
-104.954818,70,658.992069
-107.653103,56,659.053718
-122.696813,117,659.463216
-99.149762,112,659.542773
-105.28446,75,659.676759
-107.332305,80,659.743134
-113.057033,70,659.802501
-114.744585,87,659.939029
-103.357322,67,659.985661
-116.00934,79,660.042293
-104.94905,53,660.086513
-107.936959,70,660.445931
-105.716375,116,660.524379
-106.559367,69,660.577646
-114.645516,85,660.809763
-105.201239,67,660.88281
-96.917224,115,660.987351
-112.899503,212,661.374299
-109.412901,68,661.422839
-110.973064,86,661.610173
-101.895251,118,661.702604
-123.717235,134,661.872313
-51.190592,1600,663.687231
-104.08682,44,663.726828
-103.690064,67,663.782681
-108.202686,45,664.42074
-109.854506,45,664.452761
-110.67167,48,664.494978
-111.479946,89,664.571561
-108.960144,68,664.729332
-107.389289,57,664.787532
-44.097426,1600,666.7901
-108.880039,97,666.857759
-62.739585,1600,669.446127
-106.233973,84,669.484976
-106.386085,95,669.531231
-114.486142,92,669.653717
-108.670363,54,669.680415
-107.61403,88,669.727333
-116.877375,141,669.98133
-112.769536,46,670.005537
-124.728672,166,670.300239
-48.75777,1600,671.643863
-123.136879,124,671.71463
-109.936101,58,671.995802
-60.394677,1600,673.671428
-104.834566,64,673.720684
-106.969898,64,673.753546
-45.682318,1600,675.29959
-113.911631,91,675.353115
-106.697163,65,675.406504
-110.493541,52,675.464304
-94.396363,124,675.52482
-100.680715,52,675.552036
-115.578931,69,675.595833
-41.282426,1600,677.287925
-100.031095,83,677.351068
-108.344935,104,677.427462
-122.319313,138,677.545317
-101.712225,78,677.586856
-117.616749,121,677.683864
-110.701512,199,677.843514
-116.302476,112,677.90345
-106.748578,54,677.9315
-108.674008,66,677.964843
-107.986501,62,678.068666
-126.998301,116,678.136042
-107.667003,76,678.17763
-99.607858,91,678.301231
-115.263211,84,678.36572
-108.342707,54,678.406618
-103.686559,61,678.489731
-102.72285,73,678.5454
-115.516567,100,678.618957
-107.665968,43,678.653335
-116.50319,86,678.755809
-116.982805,152,678.86714
-108.394635,48,678.975192
-107.578719,70,679.015244
-106.218738,67,679.056227
-108.232868,51,679.090578
-102.955821,62,679.202919
-104.944842,64,679.238217
-55.222749,1600,680.819282
-105.076082,152,680.990193
-106.781986,44,681.018814
-107.311395,85,681.067673
-108.792439,54,681.106222
-107.068434,76,681.216417
-104.46269,63,681.248597
-105.438195,72,681.287926
-110.454006,40,681.313652
-106.055926,93,681.48714
-119.5767,91,681.539618
-125.259397,131,681.650517
-44.168875,1600,683.13509
-114.287717,80,683.178764
-62.677034,1600,684.681535
-110.126422,68,685.016789
-117.556092,104,685.110005
-105.687501,124,685.183316
-112.2381,93,685.287088
-101.147604,87,685.338643
-99.600011,113,685.451469
-102.314815,65,685.492747
-111.640362,62,685.534316
-105.537253,63,685.568475
-98.058698,89,685.656073
-110.842347,54,685.68941
-65.800362,1600,686.874634
-111.67037,40,686.898999
-103.475332,83,686.98607
-103.11786,104,687.044272
-112.673646,79,687.092486
-107.727179,93,687.188625
-37.705638,1600,688.699897
-53.115984,1600,690.297106
-102.585701,75,690.379043
-108.413988,63,690.415776
-63.031401,1600,691.737751
-119.22694,108,691.805526
-109.542864,82,691.906905
-99.916473,69,691.951585
-109.088676,37,691.971221
-108.358776,54,691.999452
-107.531504,86,692.118323
-106.246738,107,692.185895
-50.962798,1600,694.373794
-111.078636,37,694.442323
-108.601433,98,694.497748
-48.146336,1600,695.931655
-111.492594,102,696.076591
-103.124374,66,696.121317
-110.159427,68,696.172547
-49.976689,1600,698.110409
-108.681244,92,698.194479
-47.278717,1600,699.644616
-102.661466,59,699.683682
-107.739754,133,699.805905
-42.376388,1600,701.419414
-123.932471,118,701.496547
-121.221074,116,701.611554
-118.874804,122,701.682143
-104.757873,61,701.75139
-114.406717,80,701.795087
-66.73238,1600,703.114863
-103.736493,173,703.273419
-105.708043,43,703.308554
-105.579448,89,703.381725
-33.680197,1600,705.941081
-106.36777,62,705.983112
-107.787969,55,706.024899
-27.816166,1600,707.689102
-102.213458,49,707.778027
-127.455986,116,707.844416
-179.941159,1428,709.653576
-100.069714,72,709.717636
-97.644382,118,709.825474
-130.860621,181,710.026442
-101.751838,70,710.088834
-101.41228,116,710.201473
-125.284725,138,710.297983
-61.081446,1600,711.722585
-121.630178,119,711.846447
-117.107298,352,712.124027
-32.078563,1600,714.107773
-97.143587,130,714.197513
-104.501865,68,714.240487
-103.681165,74,714.329532
-96.330126,69,714.382196
-100.177461,75,714.438414
-122.424927,84,714.536993
-126.437769,125,714.62724
-99.194193,103,714.694495
-124.697129,123,714.811302
-111.894843,346,715.123824
-119.912171,99,715.227882
-103.950947,116,715.309615
-116.954834,66,715.358399
-103.288829,64,715.497453
-97.342679,122,715.576137
-105.000309,218,716.026924
-100.132616,94,716.080055
-104.900588,145,716.237499
-103.728311,79,716.293504
-102.248002,115,716.970918
-118.526224,389,717.304177
-102.290435,91,717.484618
-105.6975,225,717.655408
-103.828502,144,717.920286
-96.713142,121,718.011321
-105.223912,67,718.588269
-100.287737,82,718.643445
-105.238264,62,718.678894
-113.611616,434,719.209856
-100.673135,127,719.296111
-101.741957,50,719.408491
-100.533006,146,719.537802
-103.438531,191,719.70834
-96.5873,82,719.759887
-121.497185,109,719.991831
-108.748202,75,720.039469
-110.804712,66,720.08339
-99.343278,72,720.169119
-104.816413,56,720.211191
-102.538802,126,720.324395
-98.055548,76,720.415534
-98.052014,125,720.501214
-104.951818,71,720.547189
-138.833135,958,721.36792
-100.854287,83,721.41668
-103.076319,83,721.623425
-119.217537,71,721.676331
-104.11879,124,721.761486
-100.815558,121,721.894795
-96.366671,145,721.985063
-128.506657,120,722.214444
-104.723543,80,722.264238
-117.669879,76,722.458656
-100.661106,57,722.509089
-104.238674,56,722.559762
-106.117344,60,722.614302
-121.424662,104,722.833684
-160.99524,1319,724.096781
-99.562644,127,724.18432
-100.799031,155,724.352091
-107.340624,140,724.469715
-96.69969,120,724.611692
-100.508096,69,724.657204
-98.856441,118,724.784149
-101.744413,87,724.836452
-109.118549,126,724.923958
-104.136049,63,725.03202
-102.926921,66,725.089817
-103.226273,94,725.16051
-97.67028,89,725.285595
-108.442747,95,725.343251
-103.62904,77,725.398021
-103.214007,99,725.533265
-95.732384,106,725.655402
-104.920696,64,725.694589
-100.007728,70,725.925721
-101.37862,72,726.018615
-99.072365,77,726.089948
-99.238373,94,726.24267
-100.302998,102,726.318571
-97.88621,72,726.364158
-133.291583,850,727.321432
-104.75869,181,727.429697
-124.408496,120,727.560964
-97.036303,79,727.633525
-104.982099,62,727.687594
-102.255569,64,727.793041
-96.6075,124,727.890845
-102.145124,67,727.948893
-123.842323,111,728.095404
-105.85095,92,728.15233
-101.822998,68,728.20222
-102.921896,73,728.286562
-106.100256,257,728.513745
-99.519525,76,728.566396
-108.814097,166,728.75425
-100.452936,139,728.842481
-96.269596,85,728.95365
-106.788707,36,728.982868
-101.167997,187,729.113142
-107.788409,129,729.239118
-99.072462,137,729.331065
-103.054455,212,729.566132
-100.405322,80,729.701647
-102.759656,54,729.741805
-99.465452,88,729.807084
-101.544227,103,729.942924
-100.56594,70,729.991131
-101.955386,63,730.028123
-108.963495,114,730.357581
-108.742149,716,730.918383
-118.213565,86,731.010628
-98.8515,64,731.051244
-102.705867,94,731.118506
-100.013924,83,731.233652
-101.940153,71,731.27722
-99.309947,61,731.323703
-122.703709,62,731.369368
-100.606803,76,731.495559
-116.949693,598,732.415565
-99.221648,156,732.831757
-58.702192,1600,733.912461
-124.94517,92,733.960726
-106.850002,57,733.990961
-99.637632,79,734.062577
-98.897823,84,734.108915
-119.438881,109,734.163186
-101.220948,58,734.224145
-122.160928,139,734.305128
-104.628066,73,734.667356
-105.346584,54,734.703761
-103.600714,118,734.782568
-24.708666,1600,736.301516
-105.79371,236,736.488562
-102.90568,380,736.921727
-97.050452,82,736.96929
-23.721363,1600,738.807144
-102.216605,73,738.887564
-109.935684,68,738.937696
-111.74805,49,738.971041
-101.421125,98,739.076531
-103.805907,99,739.13716
-104.301702,48,739.174061
-105.158667,60,739.223347
-105.292126,53,739.34315
-101.488207,161,739.445027
-114.586613,78,739.64672
-104.413001,63,739.696616
-112.38122,189,739.836221
-100.393927,95,739.937565
-115.32493,351,740.205518
-110.208584,55,740.256866
-116.066164,85,740.409051
-37.839669,1600,742.35417
-30.991934,1600,744.534727
-112.428157,81,744.664526
-96.757527,89,744.725519
-97.399091,84,744.774267
-111.082591,60,744.965397
-47.200737,1600,749.066625
-115.916244,57,749.119814
-105.733213,69,749.179492
-112.843155,62,749.237697
-116.41738,132,749.359274
-97.942945,96,749.427131
-113.425709,73,749.516911
-47.936198,1600,750.91024
-55.62525,1600,752.397186
-102.871244,107,752.531316
-42.387385,1600,754.408957
-115.931992,70,754.451225
-96.281616,91,754.518536
-112.955639,64,754.765265
-99.314484,106,754.83311
-49.682432,1600,756.466957
-115.151804,180,756.721415
-108.196426,50,756.762883
-118.354061,137,756.95727
-106.585119,198,757.22046
-46.896344,1600,759.010198
-100.478712,75,759.065495
-100.11045,44,759.097612
-99.674819,83,759.287602
-108.640874,109,759.365194
-109.615482,71,759.417311
-100.933271,75,759.539527
-108.693722,103,759.60495
-53.380105,1600,761.670548
-46.944666,1600,764.413924
-99.15938,85,764.475784
-106.297331,75,764.529719
-103.343606,90,764.590945
-115.152806,96,764.916384
-103.007033,87,764.971968
-106.471936,69,765.031723
-107.246615,90,765.247553
-112.362153,52,765.301482
-105.454671,76,765.37701
-115.727876,94,765.48634
-111.743382,63,765.527461
-110.233677,65,765.565597
-103.274785,68,765.612885
-114.596618,201,765.893537
-116.53269,76,766.001134
-116.87128,208,766.139259
-103.498507,141,766.278412
-116.360857,80,766.331887
-110.166918,62,766.368676
-101.195865,124,766.544446
-103.138302,84,766.605652
-111.916581,63,766.695316
-101.886466,167,766.828337
-113.604967,59,766.874488
-104.952404,86,766.980564
-110.369089,62,767.024572
-106.892107,52,767.062653
-109.832895,132,767.192045
-115.224932,71,767.238956
-110.907522,49,767.276432
-110.823331,59,767.320246
-114.750425,73,767.407917
-106.409747,90,767.464587
-113.534003,57,767.506984
-118.891198,106,767.618273
-115.613358,94,767.679245
-104.948152,177,767.836003
-118.57097,108,767.905544
-109.884144,66,767.952161
-107.453796,132,768.087411
-111.838143,60,768.131032
-113.425978,43,768.16271
-112.027564,52,768.246146
-110.124137,126,768.32265
-111.827099,97,768.392557
-105.471367,60,768.488518
-108.02445,86,768.547734
-110.520447,62,768.585875
-109.617978,69,768.634532
-112.029557,67,768.853625
-106.920876,78,768.906008
-104.762146,79,768.9519
-104.165779,147,769.091687
-109.439577,126,769.20341
-115.116416,93,769.324888
-107.476579,80,769.382092
-110.681372,78,769.437189
-105.41206,140,769.568189
-43.467065,1600,771.266935
-104.768147,135,771.421848
-119.372019,145,771.519062
-43.895234,1600,774.04698
-103.211661,61,774.08411
-109.232396,66,774.127882
-108.765105,145,774.299415
-44.777927,1600,776.044256
-102.609072,76,776.107344
-118.888761,562,776.746172
-108.939231,77,776.875581
-130.770003,759,777.649267
-98.210841,88,777.705137
-26.850792,1600,779.612566
-100.81764,79,779.851109
-104.971303,60,779.894872
-41.377069,1600,782.547089
-93.92508,113,782.611208
-99.609482,113,782.749736
-34.06564,1600,784.564582
-43.245893,1600,786.075216
-120.842904,104,786.195987
-118.800347,116,786.282508
-113.292145,87,786.39118
-118.189063,72,786.436357
-100.960019,69,786.487625
-101.670756,74,786.541491
-31.400692,1600,788.401999
-42.310887,1600,790.173288
-41.205806,1600,794.500103
-103.28056,63,794.551648
-95.927339,117,794.731642
-106.670817,69,794.776727
-105.518861,96,794.88801
-104.126451,74,794.942847
-109.143228,54,794.99048
-95.666853,157,795.149762
-117.085798,98,795.220897
-105.993644,57,795.272711
-100.021752,76,795.494688
-104.0003,66,795.542174
-101.429044,64,795.582776
-113.924031,82,795.64269
-122.934073,121,795.898557
-102.465626,58,795.939735
-35.243995,1600,797.675704
-104.653722,69,797.866916
-105.44465,80,797.938556
-102.877422,174,798.186735
-104.93477,90,798.278325
-33.463709,1600,800.498248
-101.028078,92,800.732433
-118.296625,102,800.834771
-54.645145,1600,804.053109
-103.172562,72,804.116054
-109.63893,53,804.792338
-95.590555,80,805.066074
-100.957963,74,805.291646
-97.977527,129,805.512177
-32.528643,1600,807.644776
-103.127401,105,807.757913
-108.419614,53,807.835704
-39.667709,1600,809.668728
-102.222597,130,809.813101
-91.430362,356,810.312728
-120.434188,74,810.365238
-106.479808,191,810.616767
-95.750356,335,810.901317
-104.497238,63,810.94447
-110.559042,109,811.079002
-124.921344,190,811.649583
-107.702814,219,811.819675
-103.303355,185,812.206247
-125.59611,120,812.316427
-102.826947,107,812.388271
-111.62906,496,812.916862
-125.248745,135,813.017318
-98.367279,176,813.320856
-98.015655,106,813.470525
-110.666407,168,813.597998
-97.125261,90,813.887995
-44.645788,1600,816.82592
-104.270066,182,817.2193
-114.991284,89,817.284087
-98.471222,76,817.329443
-104.01435,89,817.494023
-19.073266,1600,819.754636
-104.686836,84,819.835572
-119.346629,83,819.920463
-97.855658,112,820.277115
-101.073254,101,820.366131
-18.064372,1600,822.942147
-121.533725,99,823.038553
-99.108838,81,823.118389
-112.57418,139,823.305177
-104.526817,91,823.386938
-118.226509,1023,824.621569
-107.519802,64,824.678001
-102.094269,73,824.881949
-105.049291,68,824.957772
-99.167344,124,825.074452
-23.834501,1600,827.107463
-107.076405,86,827.163165
-108.47155,111,827.247044
-18.916097,1600,830.403693
-104.604585,65,830.448066
-95.664084,88,830.518478
-117.713181,87,830.766543
-125.890136,91,830.895734
-103.060227,81,830.962853
-118.212259,630,831.596463
-104.777792,315,831.840595
-113.942451,676,832.458064
-121.161947,97,832.533175
-108.867828,50,832.574923
-116.098019,68,832.621741
-106.684857,38,832.685699
-92.705805,170,832.802317
-105.152667,226,833.0876
-19.3142,1600,834.715285
-111.904168,77,834.831882
-103.675475,53,834.873105
22.946545,1600,837.161891
-46.122385,1600,839.28201
-129.216607,133,839.459046
-102.559381,101,839.53265
-114.543757,71,839.631737
-98.816667,643,840.449564
-116.009045,129,840.730119
-106.128844,95,840.803699
-104.554471,67,840.846277
-114.422956,114,840.954883
-106.127087,82,841.013608
29.682893,1600,844.100505
-118.172247,98,844.300403
-113.527211,77,844.361556
-108.2857,94,844.440441
-121.097266,85,844.656718
-97.111288,72,844.706176
-50.542659,1600,846.475682
-105.84753,73,846.530155
-110.114849,77,846.647695
-108.874436,64,846.687261
-116.185228,67,846.728777
-50.737736,1600,848.651735
-124.785948,129,848.749965
-107.918274,56,848.799307
-106.437235,75,848.920234
-112.087052,63,848.968419
-129.45959,126,849.060253
-106.324661,143,849.221847
-116.908361,79,849.283115
-117.887096,77,849.340905
-116.771355,81,849.476717
13.30561,1600,851.503191
-105.400816,57,851.578204
23.359719,1600,855.303673
-57.146463,1600,857.723452
-109.347795,47,857.753608
-100.587684,84,857.810775
-124.495607,80,858.064844
-110.229113,142,858.15072
-61.627824,1600,859.750151
-121.864287,124,859.870654
-104.994454,77,859.924699
-105.377801,79,859.98411
-103.796399,62,860.076383
-111.912165,49,860.11544
-106.221064,42,860.141322
-106.307952,67,860.189936
-110.710718,77,860.335633
-114.965604,102,860.395021
-118.938416,139,860.535151
-110.043106,73,860.581574
-99.975226,89,860.633451
-103.68009,60,860.675203
-104.706727,82,860.846946
-126.063334,159,860.952161
-105.16526,70,861.091832
-103.42771,61,861.1371
-110.377109,93,861.193745
-106.492255,82,861.294455
-129.387946,167,861.412415
-104.713486,66,861.455319
-107.403235,56,861.534472
-106.006281,54,861.576616
-116.519357,71,861.62537
-128.775996,136,861.747383
-104.876705,85,861.812775
-103.600152,71,861.866316
-106.584434,90,861.950494
-58.997428,1600,863.129266
-113.806818,78,863.173404
-104.340345,80,863.247824
-104.230813,80,863.295779
-106.947517,103,863.355627
-102.069779,77,863.439283
-106.197117,89,863.499584
-112.319392,93,863.561066
-123.523762,115,863.745448
-123.195777,117,863.836277
-64.320612,1600,865.50565
-118.00095,67,865.650813
-104.835623,63,865.710308
-108.153187,113,865.836397
-106.356125,57,866.000067
-132.044817,141,866.110013
-103.959761,76,866.170492
-104.076747,77,866.373458
-111.089893,55,866.422481
-115.46325,71,866.481159
-116.314591,76,866.583167
-104.282828,78,866.636941
-101.866801,54,866.680383
-126.362003,107,866.769108
-105.820774,50,867.71869
-106.912961,59,867.758168
-107.267969,61,867.800516
-111.291818,58,867.846351
-70.321585,1600,870.996078
-77.419554,1600,872.703918
-66.319189,1600,874.670841
-109.82709,114,874.903326
-101.242381,79,874.950742
-104.908564,61,874.98994
-107.775221,52,875.058212
-114.619393,94,875.219373
-53.644829,1600,878.985742
-110.319804,48,879.046326
-103.028948,91,879.16133
-43.149637,1600,884.259681
-40.964425,1600,886.273182
-48.52383,1600,887.794221
-104.684714,68,887.842201
-40.127368,1600,889.464772
-35.230067,1600,891.518831
-43.479065,1600,895.770665
-114.019319,97,895.931611
-47.357577,1600,897.999983
-101.293774,85,898.054885
-115.009499,95,898.354349
-114.130256,102,898.420674
-117.014898,162,898.632709
-49.088284,1600,900.699291
-98.818161,101,900.784811
-98.585373,77,900.948586
-98.544105,78,901.022696
-103.894605,176,901.538048
-109.764778,63,901.592625
-110.415327,154,901.680964
-111.528236,61,901.803132
-51.735146,1600,904.395154
-96.60216,110,904.500427
-95.354127,131,904.67309
-103.568371,117,904.799031
-114.775746,74,904.915052
-99.268651,104,905.002663
-115.132886,132,905.096602
-54.660946,1600,907.039145
-99.215881,81,907.096732
-104.388969,75,907.150832
-115.41712,155,907.539351
-108.199717,64,907.652993
-49.12958,1600,912.757132
-101.633033,85,912.875976
-39.471138,1600,915.038582
-101.337439,76,915.108899
-101.235357,97,915.269825
-109.51286,86,915.35553
-97.497089,64,915.413764
-123.562438,157,915.59248
-102.578087,66,915.643765
-43.696763,1600,917.886712
-124.596272,165,918.70413
-98.142004,103,918.767502
-37.294527,1600,920.786952
-110.761842,110,920.876348
-117.05419,107,921.049388
-108.967367,84,921.130763
-115.862324,125,921.269114
-128.378618,180,921.519223
-111.272112,67,921.570841
-39.129608,1600,924.79889
-107.018901,242,925.205187
-49.144095,1600,929.565937
-104.752828,115,929.626991
-106.400305,108,929.899532
-97.907191,93,929.982368
-96.278307,66,930.042746
-115.993582,119,930.270194
-106.28167,136,930.394848
-108.119926,79,930.727441
-110.549622,102,930.80997
-37.13035,1600,932.746138
-115.027039,126,933.040806
-108.798421,65,933.104192
-106.856568,61,933.168113
-34.622932,1600,935.174976
-35.160466,1600,938.03996
-38.347399,1600,939.634885
-118.151216,96,939.71415
-117.969784,103,939.918978
-110.486783,68,939.982424
-106.80773,47,940.028745
-108.602766,64,940.078745
-106.622852,86,940.208008
-109.484752,64,940.250327
-119.0717,148,940.503775
-114.017325,77,940.551284
-112.54305,82,940.610566
-38.969153,1600,943.207327
-104.020501,79,943.365872
-102.384462,119,943.474071
-104.056872,103,943.620214
-107.222114,43,943.66386
-109.33381,63,943.723371
-112.697668,77,943.798883
-109.920379,64,943.911823
-109.211631,82,943.989586
-35.663082,1600,946.002954
-113.662331,78,946.061457
-119.148732,107,946.20226
-112.231889,69,946.27205
-103.294381,77,946.347224
-36.4388,1600,948.807585
-103.822063,78,948.881598
-100.470808,57,948.931646
-114.822202,97,949.137888
-112.102571,90,949.221114
-122.117139,190,949.411375
-105.055283,162,949.532258
-111.260244,87,949.675571
-115.50125,97,949.747902
-110.775678,67,949.800636
-113.134983,75,949.914603
-110.256453,60,949.976093
-105.205129,74,950.047323
-103.215909,140,950.226337
-52.188379,1600,951.99209
-39.445502,1600,954.058127
-119.799461,164,954.251295
-116.538999,98,954.318514
-97.397067,72,954.538606
-119.005325,191,954.708459
-111.864605,71,954.808425
-102.326402,73,954.873224
-32.780136,1600,956.887317
-113.392243,63,956.949001
-117.451135,121,957.140258
-109.878792,74,957.184156
-38.191673,1600,959.266237
-101.751914,73,959.433947
-101.135702,73,959.495454
-33.426669,1600,961.08831
-111.890366,62,961.130449
-114.284864,79,961.588952
-104.391007,85,961.648602
-113.523089,129,961.778083
-103.359233,105,961.864081
-43.347921,1600,963.621539
-106.411042,109,963.880005
-115.900536,70,963.941149
-114.193208,92,964.017698
-103.608165,65,964.151198
-108.412836,52,964.201269
-110.538689,81,964.27529
-104.054829,72,964.342752
-110.69326,75,964.524112
-41.892708,1600,966.60393
-105.920272,162,966.712576
-97.729451,88,966.811832
-109.697285,53,966.862842
-105.663473,88,966.945057
-109.810539,60,967.16293
-103.940071,88,967.245209
-104.520858,55,967.297525
-117.246849,98,967.400572
-57.92065,1600,969.559461
-106.938426,81,969.617659
-102.025508,104,969.837628
-103.751234,85,969.918952
-109.210434,90,969.994143
-102.990288,72,970.045092
-114.960228,96,970.160484
-110.523587,341,970.448191
-31.748488,1600,972.550471
-44.662888,1600,974.511786
-110.674718,67,974.559671
-42.657836,1600,976.485846
-60.893244,1600,978.184001
-99.949087,75,978.311266
-98.503753,127,978.406831
-96.024695,75,978.505502
-101.600852,66,978.562084
-101.219712,60,978.608608
-110.028071,115,978.692697
-115.5144,140,978.835192
-102.981711,65,978.890592
-105.372215,78,979.012957
-97.883046,65,979.060919
-97.544285,122,979.15713
-107.235247,88,979.26237
-103.094542,154,979.38145
-53.564004,1600,981.347029
-99.662747,94,981.438558
-94.801472,85,981.495123
-105.009478,82,981.596445
-116.242819,79,981.674953
-103.207893,67,981.723021
-99.761929,68,981.772631
-106.654272,72,982.020644
-124.776707,134,982.115427
-99.942711,58,982.152287
-106.7339,57,982.229418
-95.576406,111,982.316436
-100.64872,88,982.382491
-44.801605,1600,984.303889
-93.485516,112,984.373832
-99.395909,59,984.407786
-100.092633,97,984.529631
-94.81301,124,984.615967
-103.121568,67,984.664145
-102.976437,75,984.972783
-93.621274,120,985.037455
-122.826379,102,985.21624
-57.93022,1600,986.962764
-54.818935,1600,988.541197
-100.503856,68,988.589962
-98.838565,101,988.821401
-59.988529,1600,990.415637
-100.684494,52,990.455772
-125.734237,113,990.581926
-101.270902,92,990.650618
-101.914497,119,990.742424
-98.192904,60,990.836978
-99.099042,91,990.909945
-118.320011,106,990.991357
-99.821483,63,991.092077
-100.13664,120,991.179667
-99.836129,67,991.232901
-99.555259,67,991.411796
-101.891237,102,991.508632
-98.79866,65,991.571401
-97.313748,77,991.693098
-103.109422,75,991.754863
-43.272446,1600,993.944872
-100.628685,65,994.00352
-101.727151,74,994.118172
-98.137357,76,994.175245
-100.850181,58,994.243222
-103.230883,71,994.335473
-100.476163,75,994.39558
-103.30393,60,994.443468
-98.628531,55,994.492308
-102.100957,52,994.607983
-113.213936,48,994.642404
-100.909104,56,994.690611
-96.724569,79,994.751149
-57.91119,1600,996.423028
-97.006436,72,996.733469
-102.985132,61,996.791093
-98.435599,112,996.898477
-101.181166,62,997.002731
-98.393078,85,997.06526
-99.930109,77,997.127899
-100.861833,66,997.348835
-97.612975,87,997.400192
-98.770997,87,997.447515
-102.023245,106,997.781146
-130.988441,178,997.948675
-98.262745,58,998.069706
-102.399292,72,998.187583
-101.579931,70,998.253615
-99.563278,103,998.451014
-102.785737,121,998.533478
-98.70208,63,998.576266
-102.022896,58,998.621052
-39.228546,1600,1000.597939
-98.580612,72,1000.643488
-104.49175,91,1000.713161
-98.671093,68,1000.812277
-104.187871,125,1000.885036
-97.165844,74,1000.937484
-108.22898,105,1001.048834
-100.730528,97,1001.110311
-98.243937,64,1001.156701
-101.902488,54,1001.232651
-100.780722,198,1001.356573
-98.468449,118,1001.466914
-109.916255,64,1001.505518
-106.083797,73,1001.549209
-96.701751,128,1001.656371
-103.473218,57,1001.690873
-127.126153,137,1001.861166
-100.935928,67,1001.901576
-98.413239,76,1001.947747
-96.474642,77,1002.057742
-97.886085,141,1002.144731
-98.135381,56,1002.180204
-106.008526,62,1002.26033
-101.300138,64,1002.300012
-100.229201,63,1002.337324
-99.930939,71,1002.38294
-101.366723,138,1002.513277
-49.699235,1600,1003.821425
-106.429681,71,1003.867349
-101.076521,54,1004.04075
-101.962789,96,1004.112123
-135.610717,172,1004.262898
-98.007736,71,1004.317412
-138.818358,1263,1006.095742
-119.301624,102,1006.153811
-100.287934,99,1006.333331
-34.53559,1600,1007.938929
-99.346603,65,1008.002305
-112.471216,66,1008.068859
-101.547018,74,1008.18612
-99.390792,60,1008.234661
-100.002322,66,1008.28735
-100.296806,53,1008.331445
-102.677886,114,1008.552621
-43.738275,1600,1010.387442
-30.680534,1600,1013.264985
-30.25267,1600,1017.263974
-35.048751,1600,1019.755559
-35.246661,1600,1021.927013
-104.449556,57,1021.962903
-112.45131,68,1022.172757
-104.246478,90,1022.243638
-117.696535,144,1022.426558
-103.960877,103,1022.521181
-111.626238,62,1022.582098
-111.614223,97,1022.714297
-113.954216,107,1022.78786
-100.58029,78,1022.847284
-112.819442,88,1022.958552
-112.458647,77,1023.035216
-103.174343,75,1023.105359
-34.332774,1600,1024.841897
-110.695658,65,1024.949115
-107.924798,55,1025.033274
-116.026949,141,1025.154314
-115.81657,117,1025.292302
-102.442998,91,1025.363818
-103.546117,136,1025.639229
-32.045114,1600,1027.919153
-109.956235,60,1027.978827
-107.489788,86,1028.111255
-112.085598,65,1028.161862
-104.824928,108,1028.24343
-105.537005,107,1028.514882
-104.648469,119,1028.593824
-116.68683,91,1028.705988
-114.245063,112,1028.797271
-107.299315,49,1028.84099
-112.278337,46,1028.876993
-39.135451,1600,1030.576697
-111.62561,58,1030.626292
-112.460803,68,1030.671848
-105.79621,52,1030.715624
-112.74245,102,1031.042431
-111.935253,71,1031.10255
-112.301611,75,1031.15763
-100.492295,54,1031.195957
-113.537649,82,1031.369559
-109.649206,61,1031.417175
-120.9091,123,1031.663429
-104.381717,68,1031.714905
-112.381781,76,1031.766259
-112.264783,74,1031.831847
-105.901629,75,1031.932508
-102.668686,86,1031.994594
-117.615899,100,1032.065583
-108.396778,72,1032.233797
-116.019502,79,1032.302851
-108.193477,102,1032.387156
-110.447734,58,1032.475658
-46.792066,1600,1034.439551
-111.117404,57,1034.486884
-107.717467,101,1034.569661
-115.511108,74,1034.67624
-112.904029,65,1034.742219
-128.439424,159,1035.28002
-115.170279,98,1035.399289
-43.619546,1600,1037.42907
-101.897563,71,1037.553438
-116.553063,135,1037.653153
-113.394856,77,1037.712508
-110.630615,58,1037.855809
