#{"t_start": 1765153653.31752, "env_id": "BipedalWalker-v3"}
r,l,t
-131.089166,119,151.016721
-98.856469,92,151.185748
-137.080472,804,152.449988
-105.6653,88,152.551126
-100.79317,83,152.648731
-135.273721,152,152.842303
-106.42991,71,152.910431
-114.946204,59,152.965237
-53.556213,1600,156.528497
-121.446137,113,156.616151
-102.485051,64,156.660169
-128.5856,256,157.339935
-99.803862,117,157.533093
-108.389971,48,157.572512
-75.484267,1600,159.527849
-102.164116,64,159.635329
-117.869083,70,159.701588
-109.031826,57,159.751336
-115.839419,53,159.797581
-65.260768,1600,161.808306
-115.025536,78,161.869055
-103.839989,87,161.933016
-110.4018,39,161.961584
-61.080884,1600,163.843953
-48.914204,1600,165.92596
-100.733296,90,166.004549
-112.463762,55,166.085972
-56.304481,1600,168.595829
-100.395875,62,168.651287
-57.636273,1600,171.20184
-108.68767,106,171.411185
-104.91874,93,171.503155
-105.801146,97,171.598194
-103.798697,118,171.766453
-106.458162,40,171.805765
-105.749025,74,171.879903
-111.869937,149,172.056338
-108.256563,112,172.181695
-105.581962,76,172.331083
-100.317206,80,172.392449
-119.036324,91,172.455137
-102.455349,49,172.493003
-105.628752,88,172.657857
-48.924172,1600,174.211524
-46.870768,1600,176.030262
-105.471184,62,176.080516
-113.424229,92,176.194138
-108.242471,180,176.400924
-100.598104,94,176.520791
-108.151401,41,176.559309
-102.969147,76,176.624545
-36.637047,1600,178.282501
-101.273304,79,178.335801
-118.229887,344,178.604294
-106.702277,132,179.928422
-100.919722,68,179.983531
-81.496656,1600,182.395294
-123.448655,113,182.632096
-112.029246,53,182.693475
-127.546068,112,182.822188
-103.585402,60,183.255935
-106.244808,72,183.345331
-108.917446,122,183.484445
-72.801259,1600,185.485541
-102.823993,57,185.546896
-80.652835,1600,187.750111
-77.206697,1600,189.894632
-86.224743,1600,191.844405
-109.555592,56,191.916707
-73.31887,1600,193.887418
-79.579473,1600,196.320734
-66.122362,1600,198.704549
-67.285089,1600,201.046263
-60.350709,1600,204.18525
-115.053705,48,204.224074
-107.711991,67,204.275389
-110.468914,101,204.480851
-58.185047,1600,206.966299
-60.426524,1600,209.412475
-47.000128,1600,211.769249
-154.491999,1435,215.655559
-124.781556,465,217.155551
-106.874939,54,217.222608
-104.840728,125,217.53029
-101.54884,86,217.593203
-96.273973,79,217.678895
-128.833318,449,218.228426
-106.252019,72,218.309317
-105.900634,115,218.623718
-108.485545,152,218.767046
-109.271053,48,219.076785
-104.958896,77,219.173203
-112.211496,53,219.259341
-107.134187,96,219.482486
-100.803458,99,219.602804
-112.179109,77,219.688398
-102.028343,66,219.748636
-111.995942,419,220.634549
-118.886726,103,220.765462
-98.873943,144,220.891533
-99.827134,127,221.112153
-114.616397,83,221.214675
-95.581939,130,221.332908
-111.688248,45,221.474531
-100.635544,59,221.527734
-101.88171,52,221.56976
-95.514091,144,221.81708
-106.370917,54,221.871619
-113.14191,185,222.234286
-102.744714,45,222.279013
-102.158281,55,222.330632
-110.511465,302,222.701566
-101.175199,53,222.745547
-135.256512,695,224.155458
-109.720287,88,224.224674
-141.973531,923,225.512234
-133.182249,994,227.159654
-98.919598,106,227.259083
-102.436693,120,227.404836
-133.052785,655,228.207977
-90.6316,1600,232.101746
-118.712096,87,232.196775
-117.282499,71,232.277985
-122.499712,336,232.68866
-111.793225,413,233.295475
-141.597646,881,234.578962
-99.577908,101,234.662923
-101.66399,49,234.701148
-102.422276,47,234.735858
-103.560172,80,234.989309
-99.395726,87,235.051938
-107.161786,305,235.501184
-103.745095,193,236.101186
-100.761528,117,236.20375
-105.141879,122,236.347167
-158.546435,1160,238.261285
-106.875856,123,238.603506
-98.911377,73,238.68739
-114.739132,443,239.285912
-110.997442,393,239.694755
-114.686836,352,240.189353
-105.96453,75,240.267684
-99.223876,68,240.339155
-106.122337,388,241.016706
-104.891313,179,241.219727
-102.546907,168,241.355259
-103.614778,76,241.424866
-102.014647,79,241.596935
-122.931052,80,241.716293
-98.982728,154,241.966766
-98.41444,127,242.099592
-139.339298,780,243.70221
-123.654044,671,246.476009
-96.756063,97,246.557133
-57.143095,1600,249.276598
-47.928836,1600,252.413222
-57.970212,1600,256.041347
-63.516246,1600,258.229533
-108.61676,57,258.280525
-68.866289,1600,260.348949
-56.82136,1600,262.714165
-125.572124,122,262.803946
-57.88831,1600,265.375118
-41.905218,1600,267.39938
-106.67375,49,267.436172
-49.125643,1600,269.447329
-102.622645,64,269.928923
-116.52244,75,269.9845
-128.022415,117,270.088879
-111.054433,57,270.546754
-108.544831,43,270.578029
-111.383111,99,270.653178
-109.731672,79,270.723324
-105.564923,55,270.91588
-33.612582,1600,273.207086
-102.024641,56,273.266354
-16.418572,1600,275.636644
-109.166267,43,275.800654
-105.344459,80,275.921521
-109.984232,49,275.978645
-3.288496,1600,278.507099
-17.395553,1600,280.848355
-115.940677,143,281.000625
-108.76025,46,281.054501
-99.616883,714,282.124787
-2.984026,1600,284.264791
-5.151645,1600,286.826691
-113.221624,70,286.877375
8.151104,1600,289.794997
9.808789,1600,292.959882
-86.198472,951,294.403972
-106.458163,43,294.45022
-107.303655,91,294.621979
-105.936708,84,294.719703
-119.019822,84,294.82163
-107.822903,66,295.099237
-95.859624,89,295.197186
-109.909978,55,295.24751
-106.212656,76,295.312265
-105.382408,38,295.43419
-109.195035,87,295.528121
-103.675136,226,295.882199
-106.176233,69,295.950621
-99.792104,97,296.062586
-96.441971,235,296.299803
-112.299778,60,296.480716
-98.553652,1600,298.695731
-109.832794,40,298.727769
-110.345742,98,298.814609
-107.993521,61,298.928408
-109.139505,56,298.976251
-106.085621,127,299.089899
-114.696681,84,299.38449
-103.88695,60,299.438824
-106.127581,95,299.563569
-101.77291,84,299.690391
-107.107418,55,299.741156
-96.853281,238,300.026032
-109.570278,67,300.086867
-114.840396,72,300.152156
-126.587098,148,300.336146
-109.66145,40,300.370438
-94.912578,1600,302.847497
-104.597907,84,302.960003
-110.203871,51,303.007161
-109.88527,78,303.0765
-106.818223,73,303.150462
-119.115407,86,303.312998
-104.975333,49,303.36847
-110.590958,88,303.461428
-108.018267,51,303.5244
-115.325504,60,303.926753
-113.907414,61,304.039548
-106.641809,191,304.253598
-94.916594,95,304.330247
-108.080014,91,304.407281
-100.395156,181,304.611375
-109.771217,51,304.654071
-113.643471,46,304.731957
-103.228333,141,304.90688
-113.164957,104,304.984782
-115.228434,69,305.201748
-103.473355,61,305.270436
-106.591614,51,305.328074
-105.928689,275,305.683827
-113.363501,98,305.895951
-108.342973,51,305.953413
-107.396652,59,306.006775
-98.834711,98,306.109428
-107.743833,66,306.274868
-118.290838,63,306.328617
-111.718372,45,306.368806
-106.628981,63,306.424779
-100.279213,149,306.655319
-106.435098,73,306.712137
-109.005669,65,306.772469
-109.649617,52,306.882409
