#{"t_start": 1765149445.1752105, "env_id": "BipedalWalker-v3"}
r,l,t
-102.343664,104,0.62641
-120.882079,88,0.670122
-114.364337,47,0.694442
-118.142748,70,0.729496
-101.528766,1600,1.541031
-101.374789,77,1.578507
-104.521082,84,1.810388
-126.547045,1600,2.567863
-99.471405,94,2.613454
-162.867699,691,3.186801
-109.022442,1600,3.94051
-110.212319,43,3.962882
